stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2619,3347,"Waltera-Janke bl. 221 (Pabianice)",,51.651770,19.377160,2,,0,,,0
2620,3348,"Waltera-Janke bl. 228 (Pabianice)",,51.651680,19.378190,2,,0,,,0
2621,3349,"Nawrockiego-Waltera-Janke (Pabianice)",,51.651970,19.373510,2,,0,,,0
2622,3350,"Waltera-Janke-Nawrockiego (Pabianice)",,51.651520,19.374360,2,,0,,,0
2623,3351,"Nawrockiego-Mokra(Pabianice)",,51.654470,19.374330,2,,0,,,0
2624,3352,"Nawrockiego-Gawrońska(Pabianice)",,51.653970,19.373920,2,,0,,,0
2625,3353,"Grota-Roweckiego-Gryzla(Pabianice)",,51.656400,19.373140,2,,0,,,0
2626,3354,"Grota-Roweckiego-Nawrockiego (Pabianice)",,51.656200,19.373920,2,,0,,,0
2627,3355,"Grota-Roweckiego-Bugaj(Pabianice)",,51.656720,19.367900,2,,0,,,0
2628,3356,"Grota-Roweckiego-Os. Kopernika (Pabianic",,51.656650,19.367440,2,,0,,,0
2629,3357,"Grota-Roweckiego-Kilińskiego (Pabianice)",,51.657370,19.357820,2,,0,,,0
2630,3359,"Grota-Roweckiego-Hala Sportowa(Pabianice",,51.657190,19.358770,2,,0,,,0
2631,3360,"Kilińskiego-Moniuszki (Pabianice)",,51.660900,19.354420,2,,0,,,0
2632,3361,"Kilińskiego-Moniuszki (Pabianice)",,51.659220,19.354730,2,,0,,,0
2634,3363,"Kilińskiego-SDH(Pabianice)",,51.663620,19.354500,2,,0,,,0
2636,3365,"Moniuszki-Zielona(Pabianice)",,51.660930,19.339850,2,,0,,,0
2637,3366,"Moniuszki-Niecała(Pabianice)",,51.657860,19.331150,2,,0,,,0
2638,3369,"Moniuszki-Ostatnia(Pabianice)",,51.658360,19.331780,2,,0,,,0
2639,3370,"Moniuszki-Szarych Szeregów (Pab.)",,51.656430,19.328100,2,,0,,,0
2640,3371,"Moniuszki-Wiejska (Pabianice)",,51.655500,19.326650,2,,0,,,0
2641,3372,"Wiejska-DPS(Pabianice)",,51.657960,19.324240,2,,0,,,0
2642,3373,"Wiejska-Łaska (Pabianice)",,51.658420,19.323740,2,,0,,,0
2643,3239,"Parzęczewska-Parzęczewska /Staffa(Zg.)",,51.867850,19.382030,3,,0,,,0
2644,3358,"Waltera - Janke pętla(Pabianice)",,51.652340,19.387660,2,,0,,,0
2649,2076,"Józefiaka-Zakładowa NŻ",,51.738320,19.584990,1,,0,,,0
2650,2077,"Józefiaka-Zakładowa NŻ",,51.737240,19.584100,1,,0,,,0
2657,4662,"Śmigłego Rydza-Dąbrowskiego",,51.736450,19.489000,1,,0,,,0
2670,3374,"Brzezińska-Rokicińska(Andrespol)",,51.725910,19.639480,2,,0,,,0
2671,3375,"Brzezińska-Sienkiewicza NŻ (Bedoń Przyko",,51.733960,19.645060,2,,0,,,0
2672,3376,"Brzezińska-Sienkiewicza NŻ (Bedoń Przyko",,51.732850,19.644430,2,,0,,,0
2673,3377,"Ogrodowa-Brzezińska NŻ (Bedoń Przykoście",,51.736700,19.645580,2,,0,,,0
2674,3378,"Ogrodowa-Brzezińska NŻ (Bedoń Przykoście",,51.736750,19.645570,2,,0,,,0
2675,3379,"Ogrodowa-Magdalenki NŻ (Bedoń Przykoście",,51.738030,19.638470,2,,0,,,0
2676,3380,"Ogrodowa-Magdalenki NŻ (Bedoń Przykoście",,51.738000,19.638460,2,,0,,,0
2677,3381,"Bedoń Kościelna/Kościół",,51.737260,19.634770,2,,0,,,0
2698,2080,"Konstantynowska-ZOO Orientarium",,51.764230,19.412930,1,,0,,,0
2701,1166,"Nawrot-Sienkiewicza",,51.762600,19.461450,1,,0,,,0
2710,4676,"Unii Lubelskiej-Sport Arena P&R",,51.757740,19.428920,1,,0,,,0
2715,4690,"Legionów-Żeligowskiego",,51.773350,19.438390,1,,0,,,0
2716,4691,"Legionów-Artyleryjska NŻ",,51.771100,19.431880,1,,0,,,0
2718,4693,"Srebrzyńska-Kasprzaka",,51.773650,19.428130,1,,0,,,0
2720,2121,"Zgierska-Julianowska",,51.796780,19.444430,1,,0,,,0
